file,paragraphIndex,ignored,ignoreReason,brokenPre,chars,words,sentences,avgSentence,inlineMath,blockMath,hasMath,commas,semicolons,lines,densityScore,recommendSplit,splitAfterSentence,snippet
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,1,true,no-math,false,231,37,2,18.5,0,0,false,1,0,1,0,false,,"The focus in this document is not on the classic Riemann zeta function involving Complex Analysis. However, the results provide a solution to the distribution …"
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,2,true,no-math,false,323,48,3,16,0,0,false,5,0,2,0,false,,"The problem that superseded the Riemann zeta function, ‘the Basel Problem’, is named after the Swiss city. At the university of Basel the Bernoulli brothers su…"
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,3,true,no-math,false,129,2,1,2,0,0,false,0,0,1,0,false,,\begin{equation} 1+\frac{1}{2^{2}}+\frac{1}{3^{2}}+\frac{1}{4^{2}}+\frac{1}{5^{2}}+\dots\label{eq:01:01}\tag{01:01}\end{equation}
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,4,true,no-math,false,189,33,1,33,0,0,false,0,0,1,1,false,,This is the sum of the reciprocal squares of the natural numbers and is closely related to the harmonic series for which the Bernoulli brothers found proof for…
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,5,true,no-math,false,119,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}1+\frac{1}{2}+\frac{1}{3}+\frac{1}{4}+\frac{1}{5}+\dots=\infty\label{eq:01:02}\tag{01:02}\end{equation}
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,6,true,no-math,false,254,43,2,21.5,0,0,false,2,0,1,0,false,,"The Basel problem, as sum of the reciprocal squares of the natural numbers, is the foundation for what later became inquiry in the distribution of the prime nu…"
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,7,false,,false,224,37,2,18.5,1,0,true,2,0,1,0,false,,"In essence this paper starts in 1735, the year that Leonhard Euler in st. Petersburg found the answer to the Basel problem, he found the closed (exact) form su…"
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,8,true,no-math,false,146,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}1+\frac{1}{2^{2}}+\frac{1}{3^{2}}+\frac{1}{4^{2}}+\frac{1}{5^{2}}+\dots=\frac{\pi^{2}}{6}\label{eq:01:03}\tag{01:03}\end{equation}
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,9,true,no-math,false,92,17,1,17,0,0,false,0,0,1,0,false,,The zeta function for s=2 is the infinite sum of reciprocal squares of the natural numbers :
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,10,true,"followed-by-structural(figure), no-math",false,170,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}\sum_{n}^{\infty}n^{-s}=1+\frac{1}{2^{2}}+\frac{1}{3^{2}}+\frac{1}{4^{2}}+\frac{1}{5^{2}}+\dots=\frac{\pi^{2}}{6}\label{eq:01:04}\tag{01:04}\en…
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,11,false,,false,213,34,2,17,4,0,true,0,0,1,1,false,,The infinite sum of the shaded squares adds up to $\frac{1}{6}$ of $\pi^{2}$. The closed form $\frac{\pi^{2}}{6}$ indicates that the rational squares add up to…
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,12,true,no-math,false,95,14,1,14,0,0,false,0,0,1,0,false,,It is in precisely this mapping that an alternative pathway for investigation presented itself.
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,13,true,no-math,false,72,14,1,14,0,0,false,0,0,1,0,false,,The zeta function for s=2 can also be stated as product over the primes:
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,14,true,no-math,false,280,2,1,2,0,0,false,0,0,1,0,false,,\begin{equation}\begin{split}\zeta\left(2\right)&=\prod_{p}^{\infty}\left(1-p^{-2}\right)^{-1}=\prod_{p}^{\infty}\frac{1}{1-\frac{1}{p^{2}}}\\&=1\times\frac{4}…
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,15,true,"followed-by-structural(figure), no-math",false,59,11,1,11,0,0,false,0,0,1,0,false,,This can be represented as a product of square area ratios.
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,16,false,,false,288,40,4,10,5,0,true,0,0,1,1,false,,The infinite product of the factors equals $\frac{1}{6}\thinspace of\thinspace \pi^{2}$. E.g. The ratio $\frac{16}{15}$ between $\frac{9}{8}$ and $\frac{25}{24…
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,17,true,no-math,false,125,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}\sum_{n}^{\infty}n^{-s}=\prod_{p}^{\infty}\left(1-p^{-s}\right)^{-1}\label{eq:01:06}\tag{01:06}\end{equation}
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,18,false,,false,281,47,2,23.5,1,0,true,0,0,1,0,false,,The sum of the reciprocal squares of the natural numbers equals a infinite product of which the terms iterate over all prime numbers. The geometric projection …
zeta-zero-cafe/notebook/Chapter 1 The Basel problem.html,19,false,,false,188,26,2,13,1,0,true,0,0,1,0,false,,A sum or product of Rational quantities resulting in a Real number value. Is the result $\zeta\left(2\right)=\frac{\pi^{2}}{6}$ a Real number or an infinitely …
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,1,false,,false,247,31,1,31,3,0,true,0,0,45,2,true,,Table 2.1 — Zeta function values s Closed exact Calculated value 1 no value no value 2 \(\tfrac{\pi^{2}}{6}\) 1.644934067… 3 unknown 1.202056903… 4 \(\tfrac{\p…
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,2,true,"caption/table-like, no-math",false,164,32,2,16,0,0,false,1,0,1,0,false,,"Table 2.1. shows some known closed forms for the even values of ‘s’, the closed forms for the odd values of ‘s’ are unknown. Those for the even values have the…"
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,3,true,no-math,false,74,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}\frac{\pi^{s}}{x}\label{eq:02.01}\tag{02.01}\end{equation}
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,4,true,no-math,false,98,19,1,19,0,0,false,0,0,1,0,false,,With respect to symmetry naively one expects that the closed form for all ‘s’ will be of the form:
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,5,true,"followed-by-structural(pre), no-math",false,105,1,1,1,0,0,false,0,0,1,0,false,,\begin{equation}\zeta\left(s\right)=\frac{n\pi^{s}}{x<=n\pi^{s}}\label{eq:02.02}\tag{02.02}\end{equation}
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,6,true,no-math,false,385,56,2,28,0,0,false,2,0,2,0,false,,"The inverse square law, in physics, is any physical law stating that a specified physical quantity or intensity is inversely proportional to the square of the …"
zeta-zero-cafe/notebook/Chapter 2 The spatial aspect of zet.html,7,false,,false,211,28,1,28,2,0,true,1,0,1,0,false,,A similar proportional symmetry exists between the result $\zeta\left(2\right)=\frac{\pi^{2}}{6}$ and the spherical volume enclosed by a surface area $SA=\pi^{…
